交叉口,方向,方向计数
环东路-纬中路,1,659
环东路-纬中路,2,528
环东路-纬中路,3,1459
环东路-纬中路,4,2316
环西路-纬中路,1,21290
环西路-纬中路,2,19627
环西路-纬中路,3,13135
环西路-纬中路,4,15814
纬中路-景区出入口,1,10407
纬中路-景区出入口,2,10180
纬中路-景区出入口,4,81
经一路-纬中路,1,7313
经一路-纬中路,2,9049
经一路-纬中路,3,3385
经一路-纬中路,4,4397
经三路-纬中路,1,6544
经三路-纬中路,2,7309
经三路-纬中路,3,4226
经三路-纬中路,4,4417
经中路-环北路,1,5000
经中路-环北路,2,3597
经中路-环北路,3,6970
经中路-环北路,4,7983
经中路-环南路,1,10782
经中路-环南路,2,11300
经中路-环南路,3,9817
经中路-环南路,4,8895
经中路-纬一路,1,4815
经中路-纬一路,2,5684
经中路-纬一路,3,11470
经中路-纬一路,4,9849
经中路-纬中路,1,10959
经中路-纬中路,2,7121
经中路-纬中路,3,7399
经中路-纬中路,4,10815
经二路-纬中路,1,6939
经二路-纬中路,2,6633
经五路-纬中路,1,4659
经五路-纬中路,2,4266
经五路-纬中路,3,722
经五路-纬中路,4,668
经四路-纬中路,1,476
经四路-纬中路,2,424
经四路-纬中路,3,657
经四路-纬中路,4,486
