交叉口,方向,方向计数
环东路-纬中路,1,478
环东路-纬中路,2,372
环东路-纬中路,3,920
环东路-纬中路,4,1437
环西路-纬中路,1,17635
环西路-纬中路,2,15117
环西路-纬中路,3,10607
环西路-纬中路,4,11451
纬中路-景区出入口,1,9037
纬中路-景区出入口,2,7788
纬中路-景区出入口,4,41
经一路-纬中路,1,6933
经一路-纬中路,2,7841
经一路-纬中路,3,3393
经一路-纬中路,4,4404
经三路-纬中路,1,5431
经三路-纬中路,2,4582
经三路-纬中路,3,3634
经三路-纬中路,4,3829
经中路-环北路,1,4342
经中路-环北路,2,1548
经中路-环北路,3,5816
经中路-环北路,4,7058
经中路-环南路,1,7284
经中路-环南路,2,8565
经中路-环南路,3,8268
经中路-环南路,4,6762
经中路-纬一路,1,3434
经中路-纬一路,2,4509
经中路-纬一路,3,9838
经中路-纬一路,4,6741
经中路-纬中路,1,9720
经中路-纬中路,2,6495
经中路-纬中路,3,6640
经中路-纬中路,4,10141
经二路-纬中路,1,5211
经二路-纬中路,2,4714
经五路-纬中路,1,2580
经五路-纬中路,2,2300
经五路-纬中路,3,483
经五路-纬中路,4,645
经四路-纬中路,1,539
经四路-纬中路,2,366
经四路-纬中路,3,662
经四路-纬中路,4,424
