交叉口,时间段,车辆数,车辆密度,日期
环东路-纬中路,2024-05-03 16:00:00,1431,1431.0,2024-05-03
环东路-纬中路,2024-05-03 17:00:00,30,30.0,2024-05-03
环西路-纬中路,2024-05-03 00:00:00,907,907.0,2024-05-03
环西路-纬中路,2024-05-03 01:00:00,450,450.0,2024-05-03
环西路-纬中路,2024-05-03 02:00:00,209,209.0,2024-05-03
环西路-纬中路,2024-05-03 03:00:00,157,157.0,2024-05-03
环西路-纬中路,2024-05-03 04:00:00,157,157.0,2024-05-03
环西路-纬中路,2024-05-03 05:00:00,391,391.0,2024-05-03
环西路-纬中路,2024-05-03 06:00:00,1151,1151.0,2024-05-03
环西路-纬中路,2024-05-03 07:00:00,2255,2255.0,2024-05-03
环西路-纬中路,2024-05-03 08:00:00,2866,2866.0,2024-05-03
环西路-纬中路,2024-05-03 09:00:00,2777,2777.0,2024-05-03
环西路-纬中路,2024-05-03 10:00:00,3243,3243.0,2024-05-03
环西路-纬中路,2024-05-03 11:00:00,3952,3952.0,2024-05-03
环西路-纬中路,2024-05-03 12:00:00,4039,4039.0,2024-05-03
环西路-纬中路,2024-05-03 13:00:00,4492,4492.0,2024-05-03
环西路-纬中路,2024-05-03 14:00:00,4153,4153.0,2024-05-03
环西路-纬中路,2024-05-03 15:00:00,4231,4231.0,2024-05-03
环西路-纬中路,2024-05-03 16:00:00,4821,4821.0,2024-05-03
环西路-纬中路,2024-05-03 17:00:00,4624,4624.0,2024-05-03
环西路-纬中路,2024-05-03 18:00:00,4025,4025.0,2024-05-03
环西路-纬中路,2024-05-03 19:00:00,3999,3999.0,2024-05-03
环西路-纬中路,2024-05-03 20:00:00,3695,3695.0,2024-05-03
环西路-纬中路,2024-05-03 21:00:00,2930,2930.0,2024-05-03
环西路-纬中路,2024-05-03 22:00:00,1859,1859.0,2024-05-03
环西路-纬中路,2024-05-03 23:00:00,1462,1462.0,2024-05-03
纬中路-景区出入口,2024-05-03 00:00:00,234,234.0,2024-05-03
纬中路-景区出入口,2024-05-03 01:00:00,103,103.0,2024-05-03
纬中路-景区出入口,2024-05-03 02:00:00,62,62.0,2024-05-03
纬中路-景区出入口,2024-05-03 03:00:00,55,55.0,2024-05-03
纬中路-景区出入口,2024-05-03 04:00:00,53,53.0,2024-05-03
纬中路-景区出入口,2024-05-03 05:00:00,123,123.0,2024-05-03
纬中路-景区出入口,2024-05-03 06:00:00,326,326.0,2024-05-03
纬中路-景区出入口,2024-05-03 07:00:00,690,690.0,2024-05-03
纬中路-景区出入口,2024-05-03 08:00:00,1126,1126.0,2024-05-03
纬中路-景区出入口,2024-05-03 09:00:00,1380,1380.0,2024-05-03
纬中路-景区出入口,2024-05-03 10:00:00,1378,1378.0,2024-05-03
纬中路-景区出入口,2024-05-03 11:00:00,1064,1064.0,2024-05-03
纬中路-景区出入口,2024-05-03 12:00:00,1281,1281.0,2024-05-03
纬中路-景区出入口,2024-05-03 13:00:00,1561,1561.0,2024-05-03
纬中路-景区出入口,2024-05-03 14:00:00,1456,1456.0,2024-05-03
纬中路-景区出入口,2024-05-03 15:00:00,1580,1580.0,2024-05-03
纬中路-景区出入口,2024-05-03 16:00:00,1638,1638.0,2024-05-03
纬中路-景区出入口,2024-05-03 17:00:00,1761,1761.0,2024-05-03
纬中路-景区出入口,2024-05-03 18:00:00,1600,1600.0,2024-05-03
纬中路-景区出入口,2024-05-03 19:00:00,1543,1543.0,2024-05-03
纬中路-景区出入口,2024-05-03 20:00:00,1415,1415.0,2024-05-03
纬中路-景区出入口,2024-05-03 21:00:00,1031,1031.0,2024-05-03
纬中路-景区出入口,2024-05-03 22:00:00,709,709.0,2024-05-03
纬中路-景区出入口,2024-05-03 23:00:00,436,436.0,2024-05-03
经一路-纬中路,2024-05-03 00:00:00,408,408.0,2024-05-03
经一路-纬中路,2024-05-03 01:00:00,230,230.0,2024-05-03
经一路-纬中路,2024-05-03 02:00:00,123,123.0,2024-05-03
经一路-纬中路,2024-05-03 03:00:00,89,89.0,2024-05-03
经一路-纬中路,2024-05-03 04:00:00,33,33.0,2024-05-03
经一路-纬中路,2024-05-03 12:00:00,1725,1725.0,2024-05-03
经一路-纬中路,2024-05-03 13:00:00,1815,1815.0,2024-05-03
经一路-纬中路,2024-05-03 14:00:00,1728,1728.0,2024-05-03
经一路-纬中路,2024-05-03 15:00:00,1634,1634.0,2024-05-03
经一路-纬中路,2024-05-03 16:00:00,2039,2039.0,2024-05-03
经一路-纬中路,2024-05-03 17:00:00,2008,2008.0,2024-05-03
经一路-纬中路,2024-05-03 18:00:00,1737,1737.0,2024-05-03
经一路-纬中路,2024-05-03 19:00:00,1533,1533.0,2024-05-03
经一路-纬中路,2024-05-03 20:00:00,1496,1496.0,2024-05-03
经一路-纬中路,2024-05-03 21:00:00,1265,1265.0,2024-05-03
经一路-纬中路,2024-05-03 22:00:00,802,802.0,2024-05-03
经一路-纬中路,2024-05-03 23:00:00,722,722.0,2024-05-03
经三路-纬中路,2024-05-03 00:00:00,321,321.0,2024-05-03
经三路-纬中路,2024-05-03 01:00:00,138,138.0,2024-05-03
经三路-纬中路,2024-05-03 02:00:00,70,70.0,2024-05-03
经三路-纬中路,2024-05-03 03:00:00,51,51.0,2024-05-03
经三路-纬中路,2024-05-03 04:00:00,53,53.0,2024-05-03
经三路-纬中路,2024-05-03 05:00:00,134,134.0,2024-05-03
经三路-纬中路,2024-05-03 06:00:00,394,394.0,2024-05-03
经三路-纬中路,2024-05-03 07:00:00,708,708.0,2024-05-03
经三路-纬中路,2024-05-03 08:00:00,1105,1105.0,2024-05-03
经三路-纬中路,2024-05-03 09:00:00,1321,1321.0,2024-05-03
经三路-纬中路,2024-05-03 10:00:00,1410,1410.0,2024-05-03
经三路-纬中路,2024-05-03 11:00:00,1535,1535.0,2024-05-03
经三路-纬中路,2024-05-03 12:00:00,1480,1480.0,2024-05-03
经三路-纬中路,2024-05-03 13:00:00,1542,1542.0,2024-05-03
经三路-纬中路,2024-05-03 14:00:00,1476,1476.0,2024-05-03
经三路-纬中路,2024-05-03 15:00:00,1264,1264.0,2024-05-03
经三路-纬中路,2024-05-03 16:00:00,1664,1664.0,2024-05-03
经三路-纬中路,2024-05-03 17:00:00,1695,1695.0,2024-05-03
经三路-纬中路,2024-05-03 18:00:00,1444,1444.0,2024-05-03
经三路-纬中路,2024-05-03 19:00:00,1422,1422.0,2024-05-03
经三路-纬中路,2024-05-03 20:00:00,1226,1226.0,2024-05-03
经三路-纬中路,2024-05-03 21:00:00,1039,1039.0,2024-05-03
经三路-纬中路,2024-05-03 22:00:00,698,698.0,2024-05-03
经三路-纬中路,2024-05-03 23:00:00,537,537.0,2024-05-03
经中路-环北路,2024-05-03 00:00:00,225,225.0,2024-05-03
经中路-环北路,2024-05-03 01:00:00,129,129.0,2024-05-03
经中路-环北路,2024-05-03 02:00:00,72,72.0,2024-05-03
经中路-环北路,2024-05-03 03:00:00,71,71.0,2024-05-03
经中路-环北路,2024-05-03 04:00:00,81,81.0,2024-05-03
经中路-环北路,2024-05-03 05:00:00,255,255.0,2024-05-03
经中路-环北路,2024-05-03 06:00:00,592,592.0,2024-05-03
经中路-环北路,2024-05-03 07:00:00,1147,1147.0,2024-05-03
经中路-环北路,2024-05-03 08:00:00,1612,1612.0,2024-05-03
经中路-环北路,2024-05-03 09:00:00,1905,1905.0,2024-05-03
经中路-环北路,2024-05-03 10:00:00,1956,1956.0,2024-05-03
经中路-环北路,2024-05-03 11:00:00,1779,1779.0,2024-05-03
经中路-环北路,2024-05-03 12:00:00,1976,1976.0,2024-05-03
经中路-环北路,2024-05-03 13:00:00,1938,1938.0,2024-05-03
经中路-环北路,2024-05-03 14:00:00,1948,1948.0,2024-05-03
经中路-环北路,2024-05-03 15:00:00,1768,1768.0,2024-05-03
经中路-环北路,2024-05-03 16:00:00,1517,1517.0,2024-05-03
经中路-环北路,2024-05-03 17:00:00,1697,1697.0,2024-05-03
经中路-环北路,2024-05-03 18:00:00,1642,1642.0,2024-05-03
经中路-环北路,2024-05-03 19:00:00,1619,1619.0,2024-05-03
经中路-环北路,2024-05-03 20:00:00,1401,1401.0,2024-05-03
经中路-环北路,2024-05-03 21:00:00,1152,1152.0,2024-05-03
经中路-环北路,2024-05-03 22:00:00,689,689.0,2024-05-03
经中路-环北路,2024-05-03 23:00:00,405,405.0,2024-05-03
经中路-环南路,2024-05-03 00:00:00,399,399.0,2024-05-03
经中路-环南路,2024-05-03 01:00:00,183,183.0,2024-05-03
经中路-环南路,2024-05-03 02:00:00,115,115.0,2024-05-03
经中路-环南路,2024-05-03 03:00:00,106,106.0,2024-05-03
经中路-环南路,2024-05-03 04:00:00,143,143.0,2024-05-03
经中路-环南路,2024-05-03 05:00:00,362,362.0,2024-05-03
经中路-环南路,2024-05-03 06:00:00,862,862.0,2024-05-03
经中路-环南路,2024-05-03 07:00:00,1446,1446.0,2024-05-03
经中路-环南路,2024-05-03 08:00:00,2011,2011.0,2024-05-03
经中路-环南路,2024-05-03 09:00:00,2450,2450.0,2024-05-03
经中路-环南路,2024-05-03 10:00:00,2590,2590.0,2024-05-03
经中路-环南路,2024-05-03 11:00:00,2671,2671.0,2024-05-03
经中路-环南路,2024-05-03 12:00:00,2621,2621.0,2024-05-03
经中路-环南路,2024-05-03 13:00:00,2710,2710.0,2024-05-03
经中路-环南路,2024-05-03 14:00:00,2566,2566.0,2024-05-03
经中路-环南路,2024-05-03 15:00:00,2431,2431.0,2024-05-03
经中路-环南路,2024-05-03 16:00:00,2599,2599.0,2024-05-03
经中路-环南路,2024-05-03 17:00:00,2523,2523.0,2024-05-03
经中路-环南路,2024-05-03 18:00:00,2138,2138.0,2024-05-03
经中路-环南路,2024-05-03 19:00:00,2203,2203.0,2024-05-03
经中路-环南路,2024-05-03 20:00:00,1933,1933.0,2024-05-03
经中路-环南路,2024-05-03 21:00:00,1479,1479.0,2024-05-03
