交叉口,时间段,车辆数,车辆密度,日期
环东路-纬中路,2024-05-02 16:00:00,107,107.0,2024-05-02
环东路-纬中路,2024-05-02 17:00:00,739,739.0,2024-05-02
环西路-纬中路,2024-05-02 00:00:00,1182,1182.0,2024-05-02
环西路-纬中路,2024-05-02 01:00:00,617,617.0,2024-05-02
环西路-纬中路,2024-05-02 02:00:00,293,293.0,2024-05-02
环西路-纬中路,2024-05-02 03:00:00,241,241.0,2024-05-02
环西路-纬中路,2024-05-02 04:00:00,224,224.0,2024-05-02
环西路-纬中路,2024-05-02 05:00:00,467,467.0,2024-05-02
环西路-纬中路,2024-05-02 06:00:00,1099,1099.0,2024-05-02
环西路-纬中路,2024-05-02 07:00:00,2249,2249.0,2024-05-02
环西路-纬中路,2024-05-02 08:00:00,2881,2881.0,2024-05-02
环西路-纬中路,2024-05-02 09:00:00,3881,3881.0,2024-05-02
环西路-纬中路,2024-05-02 10:00:00,4287,4287.0,2024-05-02
环西路-纬中路,2024-05-02 11:00:00,4512,4512.0,2024-05-02
环西路-纬中路,2024-05-02 12:00:00,4729,4729.0,2024-05-02
环西路-纬中路,2024-05-02 13:00:00,4252,4252.0,2024-05-02
环西路-纬中路,2024-05-02 14:00:00,3179,3179.0,2024-05-02
环西路-纬中路,2024-05-02 15:00:00,3854,3854.0,2024-05-02
环西路-纬中路,2024-05-02 16:00:00,5171,5171.0,2024-05-02
环西路-纬中路,2024-05-02 17:00:00,3770,3770.0,2024-05-02
环西路-纬中路,2024-05-02 18:00:00,4257,4257.0,2024-05-02
环西路-纬中路,2024-05-02 19:00:00,4430,4430.0,2024-05-02
环西路-纬中路,2024-05-02 20:00:00,3924,3924.0,2024-05-02
环西路-纬中路,2024-05-02 21:00:00,3349,3349.0,2024-05-02
环西路-纬中路,2024-05-02 22:00:00,2260,2260.0,2024-05-02
环西路-纬中路,2024-05-02 23:00:00,1595,1595.0,2024-05-02
纬中路-景区出入口,2024-05-02 00:00:00,296,296.0,2024-05-02
纬中路-景区出入口,2024-05-02 01:00:00,164,164.0,2024-05-02
纬中路-景区出入口,2024-05-02 02:00:00,78,78.0,2024-05-02
纬中路-景区出入口,2024-05-02 03:00:00,38,38.0,2024-05-02
纬中路-景区出入口,2024-05-02 04:00:00,58,58.0,2024-05-02
纬中路-景区出入口,2024-05-02 05:00:00,127,127.0,2024-05-02
纬中路-景区出入口,2024-05-02 06:00:00,356,356.0,2024-05-02
纬中路-景区出入口,2024-05-02 07:00:00,774,774.0,2024-05-02
纬中路-景区出入口,2024-05-02 08:00:00,1174,1174.0,2024-05-02
纬中路-景区出入口,2024-05-02 09:00:00,1091,1091.0,2024-05-02
纬中路-景区出入口,2024-05-02 10:00:00,946,946.0,2024-05-02
纬中路-景区出入口,2024-05-02 11:00:00,1208,1208.0,2024-05-02
纬中路-景区出入口,2024-05-02 12:00:00,1570,1570.0,2024-05-02
纬中路-景区出入口,2024-05-02 13:00:00,1509,1509.0,2024-05-02
纬中路-景区出入口,2024-05-02 14:00:00,1345,1345.0,2024-05-02
纬中路-景区出入口,2024-05-02 15:00:00,1439,1439.0,2024-05-02
纬中路-景区出入口,2024-05-02 16:00:00,1479,1479.0,2024-05-02
纬中路-景区出入口,2024-05-02 17:00:00,1722,1722.0,2024-05-02
纬中路-景区出入口,2024-05-02 18:00:00,1589,1589.0,2024-05-02
纬中路-景区出入口,2024-05-02 19:00:00,1629,1629.0,2024-05-02
纬中路-景区出入口,2024-05-02 20:00:00,1471,1471.0,2024-05-02
纬中路-景区出入口,2024-05-02 21:00:00,1173,1173.0,2024-05-02
纬中路-景区出入口,2024-05-02 22:00:00,796,796.0,2024-05-02
纬中路-景区出入口,2024-05-02 23:00:00,536,536.0,2024-05-02
经一路-纬中路,2024-05-02 00:00:00,601,601.0,2024-05-02
经一路-纬中路,2024-05-02 01:00:00,301,301.0,2024-05-02
经一路-纬中路,2024-05-02 02:00:00,152,152.0,2024-05-02
经一路-纬中路,2024-05-02 03:00:00,111,111.0,2024-05-02
经一路-纬中路,2024-05-02 04:00:00,121,121.0,2024-05-02
经一路-纬中路,2024-05-02 05:00:00,140,140.0,2024-05-02
经一路-纬中路,2024-05-02 06:00:00,425,425.0,2024-05-02
经一路-纬中路,2024-05-02 07:00:00,963,963.0,2024-05-02
经一路-纬中路,2024-05-02 08:00:00,1472,1472.0,2024-05-02
经一路-纬中路,2024-05-02 09:00:00,1602,1602.0,2024-05-02
经一路-纬中路,2024-05-02 10:00:00,1855,1855.0,2024-05-02
经一路-纬中路,2024-05-02 11:00:00,2016,2016.0,2024-05-02
经一路-纬中路,2024-05-02 12:00:00,694,694.0,2024-05-02
经一路-纬中路,2024-05-02 13:00:00,940,940.0,2024-05-02
经一路-纬中路,2024-05-02 14:00:00,1475,1475.0,2024-05-02
经一路-纬中路,2024-05-02 15:00:00,1948,1948.0,2024-05-02
经一路-纬中路,2024-05-02 16:00:00,1855,1855.0,2024-05-02
经一路-纬中路,2024-05-02 17:00:00,2016,2016.0,2024-05-02
经一路-纬中路,2024-05-02 18:00:00,1830,1830.0,2024-05-02
经一路-纬中路,2024-05-02 19:00:00,1906,1906.0,2024-05-02
经一路-纬中路,2024-05-02 20:00:00,1619,1619.0,2024-05-02
经一路-纬中路,2024-05-02 21:00:00,1309,1309.0,2024-05-02
经一路-纬中路,2024-05-02 22:00:00,949,949.0,2024-05-02
经一路-纬中路,2024-05-02 23:00:00,745,745.0,2024-05-02
经三路-纬中路,2024-05-02 00:00:00,421,421.0,2024-05-02
