交叉口,时间段,车辆数,车辆密度,日期
环东路-纬中路,2024-05-05 11:00:00,15,15.0,2024-05-05
环东路-纬中路,2024-05-05 12:00:00,2250,2250.0,2024-05-05
环东路-纬中路,2024-05-05 13:00:00,942,942.0,2024-05-05
环西路-纬中路,2024-05-05 00:00:00,692,692.0,2024-05-05
环西路-纬中路,2024-05-05 01:00:00,390,390.0,2024-05-05
环西路-纬中路,2024-05-05 02:00:00,232,232.0,2024-05-05
环西路-纬中路,2024-05-05 03:00:00,176,176.0,2024-05-05
环西路-纬中路,2024-05-05 04:00:00,153,153.0,2024-05-05
环西路-纬中路,2024-05-05 05:00:00,318,318.0,2024-05-05
环西路-纬中路,2024-05-05 06:00:00,1022,1022.0,2024-05-05
环西路-纬中路,2024-05-05 07:00:00,2491,2491.0,2024-05-05
环西路-纬中路,2024-05-05 08:00:00,2810,2810.0,2024-05-05
环西路-纬中路,2024-05-05 09:00:00,2924,2924.0,2024-05-05
环西路-纬中路,2024-05-05 10:00:00,2959,2959.0,2024-05-05
环西路-纬中路,2024-05-05 11:00:00,3606,3606.0,2024-05-05
环西路-纬中路,2024-05-05 12:00:00,3799,3799.0,2024-05-05
环西路-纬中路,2024-05-05 13:00:00,3637,3637.0,2024-05-05
环西路-纬中路,2024-05-05 14:00:00,3301,3301.0,2024-05-05
环西路-纬中路,2024-05-05 15:00:00,3656,3656.0,2024-05-05
环西路-纬中路,2024-05-05 16:00:00,4077,4077.0,2024-05-05
环西路-纬中路,2024-05-05 17:00:00,4400,4400.0,2024-05-05
环西路-纬中路,2024-05-05 18:00:00,3519,3519.0,2024-05-05
环西路-纬中路,2024-05-05 19:00:00,2957,2957.0,2024-05-05
环西路-纬中路,2024-05-05 20:00:00,2903,2903.0,2024-05-05
环西路-纬中路,2024-05-05 21:00:00,2114,2114.0,2024-05-05
环西路-纬中路,2024-05-05 22:00:00,1445,1445.0,2024-05-05
环西路-纬中路,2024-05-05 23:00:00,1229,1229.0,2024-05-05
纬中路-景区出入口,2024-05-05 00:00:00,178,178.0,2024-05-05
纬中路-景区出入口,2024-05-05 01:00:00,99,99.0,2024-05-05
纬中路-景区出入口,2024-05-05 02:00:00,61,61.0,2024-05-05
纬中路-景区出入口,2024-05-05 03:00:00,50,50.0,2024-05-05
纬中路-景区出入口,2024-05-05 04:00:00,51,51.0,2024-05-05
纬中路-景区出入口,2024-05-05 05:00:00,84,84.0,2024-05-05
纬中路-景区出入口,2024-05-05 06:00:00,236,236.0,2024-05-05
纬中路-景区出入口,2024-05-05 07:00:00,716,716.0,2024-05-05
纬中路-景区出入口,2024-05-05 08:00:00,809,809.0,2024-05-05
纬中路-景区出入口,2024-05-05 09:00:00,914,914.0,2024-05-05
纬中路-景区出入口,2024-05-05 10:00:00,1027,1027.0,2024-05-05
纬中路-景区出入口,2024-05-05 11:00:00,1245,1245.0,2024-05-05
纬中路-景区出入口,2024-05-05 12:00:00,1476,1476.0,2024-05-05
纬中路-景区出入口,2024-05-05 13:00:00,1363,1363.0,2024-05-05
纬中路-景区出入口,2024-05-05 14:00:00,1326,1326.0,2024-05-05
纬中路-景区出入口,2024-05-05 15:00:00,1183,1183.0,2024-05-05
纬中路-景区出入口,2024-05-05 16:00:00,1285,1285.0,2024-05-05
纬中路-景区出入口,2024-05-05 17:00:00,1077,1077.0,2024-05-05
纬中路-景区出入口,2024-05-05 18:00:00,924,924.0,2024-05-05
纬中路-景区出入口,2024-05-05 19:00:00,899,899.0,2024-05-05
纬中路-景区出入口,2024-05-05 20:00:00,650,650.0,2024-05-05
纬中路-景区出入口,2024-05-05 21:00:00,554,554.0,2024-05-05
纬中路-景区出入口,2024-05-05 22:00:00,381,381.0,2024-05-05
纬中路-景区出入口,2024-05-05 23:00:00,278,278.0,2024-05-05
经一路-纬中路,2024-05-05 00:00:00,334,334.0,2024-05-05
经一路-纬中路,2024-05-05 01:00:00,196,196.0,2024-05-05
经一路-纬中路,2024-05-05 02:00:00,106,106.0,2024-05-05
