交叉口,时间段,车辆数,车辆密度,日期
环西路-纬中路,2024-05-04 00:00:00,800,800.0,2024-05-04
环西路-纬中路,2024-05-04 01:00:00,519,519.0,2024-05-04
环西路-纬中路,2024-05-04 02:00:00,174,174.0,2024-05-04
环西路-纬中路,2024-05-04 03:00:00,161,161.0,2024-05-04
环西路-纬中路,2024-05-04 04:00:00,202,202.0,2024-05-04
环西路-纬中路,2024-05-04 05:00:00,362,362.0,2024-05-04
环西路-纬中路,2024-05-04 06:00:00,1043,1043.0,2024-05-04
环西路-纬中路,2024-05-04 07:00:00,2512,2512.0,2024-05-04
环西路-纬中路,2024-05-04 08:00:00,3061,3061.0,2024-05-04
环西路-纬中路,2024-05-04 09:00:00,3266,3266.0,2024-05-04
环西路-纬中路,2024-05-04 10:00:00,3277,3277.0,2024-05-04
环西路-纬中路,2024-05-04 11:00:00,3343,3343.0,2024-05-04
环西路-纬中路,2024-05-04 12:00:00,3526,3526.0,2024-05-04
环西路-纬中路,2024-05-04 13:00:00,4099,4099.0,2024-05-04
环西路-纬中路,2024-05-04 14:00:00,3971,3971.0,2024-05-04
环西路-纬中路,2024-05-04 15:00:00,3085,3085.0,2024-05-04
环西路-纬中路,2024-05-04 16:00:00,1275,1275.0,2024-05-04
环西路-纬中路,2024-05-04 17:00:00,1934,1934.0,2024-05-04
环西路-纬中路,2024-05-04 18:00:00,2765,2765.0,2024-05-04
环西路-纬中路,2024-05-04 19:00:00,3819,3819.0,2024-05-04
环西路-纬中路,2024-05-04 20:00:00,3708,3708.0,2024-05-04
环西路-纬中路,2024-05-04 21:00:00,2706,2706.0,2024-05-04
环西路-纬中路,2024-05-04 22:00:00,1581,1581.0,2024-05-04
环西路-纬中路,2024-05-04 23:00:00,1195,1195.0,2024-05-04
纬中路-景区出入口,2024-05-04 00:00:00,226,226.0,2024-05-04
纬中路-景区出入口,2024-05-04 01:00:00,126,126.0,2024-05-04
纬中路-景区出入口,2024-05-04 02:00:00,55,55.0,2024-05-04
纬中路-景区出入口,2024-05-04 03:00:00,37,37.0,2024-05-04
纬中路-景区出入口,2024-05-04 04:00:00,37,37.0,2024-05-04
纬中路-景区出入口,2024-05-04 05:00:00,100,100.0,2024-05-04
纬中路-景区出入口,2024-05-04 06:00:00,332,332.0,2024-05-04
纬中路-景区出入口,2024-05-04 07:00:00,647,647.0,2024-05-04
纬中路-景区出入口,2024-05-04 08:00:00,974,974.0,2024-05-04
纬中路-景区出入口,2024-05-04 09:00:00,1191,1191.0,2024-05-04
纬中路-景区出入口,2024-05-04 10:00:00,1587,1587.0,2024-05-04
纬中路-景区出入口,2024-05-04 11:00:00,1688,1688.0,2024-05-04
纬中路-景区出入口,2024-05-04 12:00:00,1584,1584.0,2024-05-04
纬中路-景区出入口,2024-05-04 13:00:00,1429,1429.0,2024-05-04
纬中路-景区出入口,2024-05-04 14:00:00,1597,1597.0,2024-05-04
纬中路-景区出入口,2024-05-04 15:00:00,1506,1506.0,2024-05-04
纬中路-景区出入口,2024-05-04 16:00:00,1602,1602.0,2024-05-04
纬中路-景区出入口,2024-05-04 17:00:00,1561,1561.0,2024-05-04
纬中路-景区出入口,2024-05-04 18:00:00,1381,1381.0,2024-05-04
