交叉口,方向,方向计数
环东路-纬中路,1,198
环东路-纬中路,2,214
环东路-纬中路,3,351
环东路-纬中路,4,698
环西路-纬中路,1,19400
环西路-纬中路,2,16991
环西路-纬中路,3,11827
环西路-纬中路,4,14627
纬中路-景区出入口,1,11201
纬中路-景区出入口,2,11296
纬中路-景区出入口,4,108
经一路-纬中路,1,5807
经一路-纬中路,2,7455
经一路-纬中路,3,2556
经一路-纬中路,4,3569
经三路-纬中路,1,6617
经三路-纬中路,2,7363
经三路-纬中路,3,4369
经三路-纬中路,4,4378
经中路-环北路,1,5891
经中路-环北路,2,3615
经中路-环北路,3,7502
经中路-环北路,4,10568
经中路-环南路,1,10000
经中路-环南路,2,10648
经中路-环南路,3,9031
经中路-环南路,4,8441
经中路-纬一路,1,4650
经中路-纬一路,2,5475
经中路-纬一路,3,10836
经中路-纬一路,4,9532
经中路-纬中路,1,11155
经中路-纬中路,2,7433
经中路-纬中路,3,7639
经中路-纬中路,4,11233
经二路-纬中路,1,6810
经二路-纬中路,2,6494
经五路-纬中路,1,3331
经五路-纬中路,2,4102
经五路-纬中路,3,626
经五路-纬中路,4,705
经四路-纬中路,1,486
经四路-纬中路,2,530
经四路-纬中路,3,555
经四路-纬中路,4,492
